make,model,year
Ford,Fusion,2016
Chevrolet,Equinox,2013
Toyota,Camry,2018
Infiniti,Q50,2016
Toyota,Tundra,2018
Lincoln,MKT,2014
Toyota,Sienna,2017
Subaru,Outback,2017
Ford,F-250 Super Duty,2019
Subaru,Legacy,2019
Dodge,Grand Caravan,2019
Acura,TLX,2017
Ford,Fusion,2011
Ford,Escape,2012
Chevrolet,Equinox,2017
Acura,RDX,2018
Jeep,Grand Cherokee,2020
Ford,Fusion Hybrid,2019
BMW,X1,2017
Mercedes-Benz,M-Class,2014
Mercedes-Benz,GLE,2020
Nissan,Rogue,2013
Toyota,Corolla,2014
Audi,A5 Sportback,2019
Infiniti,Q50,2015
Ford,Escape,2018
Chevrolet,Silverado 1500,2017
GMC,Sierra 1500 Denali,2018
Ford,Expedition,2019
